company_name,BcorporationScore,Climate,FairLabour,FairTrade,Leather_working,bluesign,ScienceBased,FTI,fashionPact
cotton on,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
country road group,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
craghoppers ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
craghoppers ltd.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
creative action network,113.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cridem,102.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctm agrofair italy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cubreme,88.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cue clothing co.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cutter-buck-inc,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
da.ai technology,88.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dai,97.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dai wear,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
damartex group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dansko,99.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dardenne,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dbl group,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dcm jennyfer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
debenhams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0
decathlon,0.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0
decjuba pty ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
deckers outdoor corporation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
deichmann se,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
demarini sports (amer sports),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
demod deri konfeksiyon ltd. sti.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
denim expert  limited,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
denner ag,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
design nave co.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
desigual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0
deuter sport gmbh & co. kg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
dhana inc.,151.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diam,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
diane von furstenberg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
dick's sporting goods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0
dillards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
dior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
disney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
dk company a/s,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
dkny,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
dolce & gabbana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
dr. martens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
dressmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0
dsw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
duffle & co,83.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eagle creek,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"eagles nest outfitters, inc. (eno)",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
eastman exports global clothing pvt ltd,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ebay inc.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
eco-bags products,91.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ecoalf recycled fabrics, sl",81.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecoffins,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eddie bauer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
"eddie bauer, llc",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
edelrid gmbh co. kg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
egos copenhagen,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eileen fisher,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
eileen fisher inc.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"eileen fisher, inc.",96.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ekornes as,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
el corte ingles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
el corte inglés,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
el tucan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
elecosy bvba,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
elevate textiles,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
