firstname,company_name,BcorporationScore,Climate,FairLabour,FairTrade,Leather_working,bluesign,ScienceBased,FTI,fashionPact
comfortrust.ch,comfortrust.ch ag,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
commerce,commerce équitable france (cef),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
company,company name,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contemporary-craft,contemporary-craft,83.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
converse,converse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0
coocazoo,coocazoo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
coop,coop danmark a/s,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
coordinadora,coordinadora estatal de comercio justo (cecj),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cortefiel,cortefiel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
costco,costco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
cotopaxi,cotopaxi,93.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cotton,cotton on,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
country,country road group,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
craghoppers,craghoppers ltd,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
creative,creative action network,113.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cridem,cridem,102.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctm,ctm agrofair italy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cubreme,cubreme,88.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cue,cue clothing co.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cutter-buck-inc,cutter-buck-inc,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
da.ai,da.ai technology,88.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dai,dai,97.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
damartex,damartex group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dansko,dansko,99.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dardenne,dardenne,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dbl,dbl group,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dcm,dcm jennyfer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
debenhams,debenhams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0
decathlon,decathlon,0.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0
decjuba,decjuba pty ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
deckers,deckers outdoor corporation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
deichmann,deichmann se,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
