company_name,BcorporationScore,Climate,FairLabour,FairTrade,Leather_working,bluesign,ScienceBased,FTI,fashionPact,DottyRank
commerce équitable france (cef),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
company name,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
contemporary-craft,83.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
converse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,2
coocazoo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
coop danmark a/s,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
coordinadora estatal de comercio justo (cecj),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
cortefiel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0
costco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0
cotopaxi,93.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
cotton on,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0
country road group,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
craghoppers ltd,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
creative action network,113.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
cridem,102.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
ctm agrofair italy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
cubreme,88.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
cue clothing co.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
cutter-buck-inc,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
da.ai technology,88.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
dai,97.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
damartex group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
dansko,99.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
dardenne,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
dbl group,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dcm jennyfer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
debenhams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,2
